content,score,Label,textCaseFolding,textStopWord,textClean,textTokens,teksNormalized,textSteam
"Alhamdulillah sangat bagus tulisan dan tajwid, terjemahan sangat jelas",5,1,"alhamdulillah sangat bagus tulisan dan tajwid, terjemahan sangat jelas","alhamdulillah bagus tulisan tajwid, terjemahan","alhamdulillah bagus tulisan tajwid, terjemahan","['alhamdulillah', 'bagus', 'tulisan', 'tajwid', ',', 'terjemahan']","['alhamdulillah', 'bagus', 'tulisan', 'tajwid', ',', 'terjemahan']","['alhamdulillah', 'bagus', 'tulisan', 'tajwid', ',', 'terjemahan']"
dengan adanya app ini membuat saya dgn mudah membaca di mana saja kapan saja....pokok nya memberi manfaat dan semoga menjadi jariah buat pencipta aplikasi ini🙏,5,1,dengan adanya app ini membuat saya dgn mudah membaca di mana saja kapan saja....pokok nya memberi manfaat dan semoga menjadi jariah buat pencipta aplikasi ini🙏,app dgn mudah membaca saja....pokok nya manfaat semoga jariah pencipta aplikasi ini🙏,app dgn mudah membaca saja....pokok nya manfaat semoga jariah pencipta aplikasi ini,"['app', 'dgn', 'mudah', 'membaca', 'saja', '....', 'pokok', 'nya', 'manfaat', 'semoga', 'jariah', 'pencipta', 'aplikasi', 'ini']","['aplikasi', ' dengan', 'mudah', 'membaca', 'saja', '....', 'pokok', 'nya', 'manfaat', 'semoga', 'jariah', 'pencipta', 'aplikasi', 'ini']","['aplikasi', ' dengan', 'mudah', 'membaca', 'saja', '....', 'pokok', 'nya', 'manfaat', 'semoga', 'jariah', 'pencipta', 'aplikasi', 'ini']"
"Dengan adanya aplikasi Al Qur'an Indonesia, aku sungguh sangat terbantu, untuk membaca ayat ayat suci Al-Quran.",5,1,"dengan adanya aplikasi al qur'an indonesia, aku sungguh sangat terbantu, untuk membaca ayat ayat suci al-quran.","aplikasi al qur'an indonesia, sungguh terbantu, membaca ayat ayat suci al-quran.","aplikasi al qur'an indonesia, sungguh terbantu, membaca ayat ayat suci al-quran.","['aplikasi', 'al', ""qur'an"", 'indonesia', ',', 'sungguh', 'terbantu', ',', 'membaca', 'ayat', 'ayat', 'suci', 'al-quran', '.']","['aplikasi', 'al', ""qur'an"", 'indonesia', ',', 'sungguh', 'terbantu', ',', 'membaca', 'ayat', 'ayat', 'suci', 'al-quran', '.']","['aplikasi', 'al', ""qur'an"", 'indonesia', ',', 'sungguh', 'terbantu', ',', 'membaca', 'ayat', 'ayat', 'suci', 'al-quran', '.']"
"sangat mudah digunakan dan membantu belajar tajwid, untuk hafalan, melihat waktu shalat yang akurat",5,1,"sangat mudah digunakan dan membantu belajar tajwid, untuk hafalan, melihat waktu shalat yang akurat","mudah membantu belajar tajwid, hafalan, shalat akurat","mudah membantu belajar tajwid, hafalan, shalat akurat","['mudah', 'membantu', 'belajar', 'tajwid', ',', 'hafalan', ',', 'shalat', 'akurat']","['mudah', 'membantu', 'belajar', 'tajwid', ',', 'hafalan', ',', 'shalat', 'akurat']","['mudah', 'membantu', 'belajar', 'tajwid', ',', 'hafalan', ',', 'shalat', 'akurat']"
dgn apk ini saya bisa lebih enak untuk baca al Qur'an dan bisa saya baca kapan saya mau dan lebih baik di tambah penjelasan tajwid nya,5,1,dgn apk ini saya bisa lebih enak untuk baca al qur'an dan bisa saya baca kapan saya mau dan lebih baik di tambah penjelasan tajwid nya,dgn apk enak baca al qur'an baca penjelasan tajwid nya,dgn apk enak baca al qur'an baca penjelasan tajwid nya,"['dgn', 'apk', 'enak', 'baca', 'al', ""qur'an"", 'baca', 'penjelasan', 'tajwid', 'nya']","[' dengan', ' aplikasi', 'enak', 'baca', 'al', ""qur'an"", 'baca', 'penjelasan', 'tajwid', 'nya']","[' dengan', ' aplikasi', 'enak', 'baca', 'al', ""qur'an"", 'baca', 'penjelasan', 'tajwid', 'nya']"
"alhamdulillah, membuat baca Al Qur'an bisa kapan saja. Lebih fleksibel dan memudahkan beribadah",5,1,"alhamdulillah, membuat baca al qur'an bisa kapan saja. lebih fleksibel dan memudahkan beribadah","alhamdulillah, baca al qur'an saja. fleksibel memudahkan beribadah","alhamdulillah, baca al qur'an saja. fleksibel memudahkan beribadah","['alhamdulillah', ',', 'baca', 'al', ""qur'an"", 'saja', '.', 'fleksibel', 'memudahkan', 'beribadah']","['alhamdulillah', ',', 'baca', 'al', ""qur'an"", 'saja', '.', 'fleksibel', 'memudahkan', 'beribadah']","['alhamdulillah', ',', 'baca', 'al', ""qur'an"", 'saja', '.', 'fleksibel', 'memudahkan', 'beribadah']"
utamakan perbaikan dalam sistem kadang2 bunyi kadang tdk tuk Alquran is the best 👍,3,0,utamakan perbaikan dalam sistem kadang2 bunyi kadang tdk tuk alquran is the best 👍,utamakan perbaikan sistem kadang2 bunyi kadang tdk tuk alquran is the best 👍,utamakan perbaikan sistem kadang2 bunyi kadang tdk tuk alquran is the best ,"['utamakan', 'perbaikan', 'sistem', 'kadang2', 'bunyi', 'kadang', 'tdk', 'tuk', 'alquran', 'is', 'the', 'best']","['utamakan', 'perbaikan', 'sistem', 'kadang2', 'bunyi', 'kadang', ' tidak', 'tuk', 'alquran', 'is', 'the', ' terbaik']","['utamakan', 'perbaikan', 'sistem', 'kadang2', 'bunyi', 'kadang', ' tidak', 'tuk', 'alquran', 'is', 'the', ' terbaik']"
"apk ini sngat membantu, sehingga dimnapun kta brada bisa membaca ataupun mendengar kan audio Al Qur'an..",5,1,"apk ini sngat membantu, sehingga dimnapun kta brada bisa membaca ataupun mendengar kan audio al qur'an..","apk sngat membantu, dimnapun kta brada membaca mendengar audio al qur'an..","apk sngat membantu, dimnapun kta brada membaca mendengar audio al qur'an..","['apk', 'sngat', 'membantu', ',', 'dimnapun', 'kta', 'brada', 'membaca', 'mendengar', 'audio', 'al', ""qur'an"", '..']","[' aplikasi', 'sngat', 'membantu', ',', 'dimnapun', 'kta', 'brada', 'membaca', 'mendengar', 'audio', 'al', ""qur'an"", '..']","[' aplikasi', 'sngat', 'membantu', ',', 'dimnapun', 'kta', 'brada', 'membaca', 'mendengar', 'audio', 'al', ""qur'an"", '..']"
oke .. sesuai.. cocok tingkatkan lagi pelayananan dan informasi lainnya,5,1,oke .. sesuai.. cocok tingkatkan lagi pelayananan dan informasi lainnya,oke .. sesuai.. cocok tingkatkan pelayananan informasi,oke .. sesuai.. cocok tingkatkan pelayananan informasi,"['oke', '..', 'sesuai', '..', 'cocok', 'tingkatkan', 'pelayananan', 'informasi']","['oke', '..', 'sesuai', '..', 'cocok', 'tingkatkan', 'pelayananan', 'informasi']","['oke', '..', 'sesuai', '..', 'cocok', 'tingkatkan', 'pelayananan', 'informasi']"
alhamdulillah dengan aplikasi ini jadi bisa membaca alquran di manapun berada... dan aplikasi sangat mudah dipahami... barakallah u fiik,5,1,alhamdulillah dengan aplikasi ini jadi bisa membaca alquran di manapun berada... dan aplikasi sangat mudah dipahami... barakallah u fiik,alhamdulillah aplikasi membaca alquran manapun berada... aplikasi mudah dipahami... barakallah u fiik,alhamdulillah aplikasi membaca alquran manapun berada... aplikasi mudah dipahami... barakallah u fiik,"['alhamdulillah', 'aplikasi', 'membaca', 'alquran', 'manapun', 'berada', '...', 'aplikasi', 'mudah', 'dipahami', '...', 'barakallah', 'u', 'fiik']","['alhamdulillah', 'aplikasi', 'membaca', 'alquran', 'manapun', 'berada', '...', 'aplikasi', 'mudah', 'dipahami', '...', 'barakallah', ' kamu', 'fiik']","['alhamdulillah', 'aplikasi', 'membaca', 'alquran', 'manapun', 'berada', '...', 'aplikasi', 'mudah', 'dipahami', '...', 'barakallah', ' kamu', 'fiik']"
"assalamualaikum aplikasinya bagus, cuma kurangnya adalah fitur untuk mengubah qory di aplikasinya menurut saya agak ribet, jika mau mengganti harus kembali lagi ke pengaturan menurut saya agak ribet karena harus bolak balik, kalau bisa di tambahkan fitur untuk opsi menngganti qory nya di saat membaca alquraan dan juga menambahkan qory internasional , terimahkasih",5,1,"assalamualaikum aplikasinya bagus, cuma kurangnya adalah fitur untuk mengubah qory di aplikasinya menurut saya agak ribet, jika mau mengganti harus kembali lagi ke pengaturan menurut saya agak ribet karena harus bolak balik, kalau bisa di tambahkan fitur untuk opsi menngganti qory nya di saat membaca alquraan dan juga menambahkan qory internasional , terimahkasih","assalamualaikum aplikasinya bagus, kurangnya fitur mengubah qory aplikasinya ribet, mengganti pengaturan ribet bolak balik, tambahkan fitur opsi menngganti qory nya membaca alquraan qory internasional , terimahkasih","assalamualaikum aplikasinya bagus, kurangnya fitur mengubah qory aplikasinya ribet, mengganti pengaturan ribet bolak balik, tambahkan fitur opsi menngganti qory nya membaca alquraan qory internasional , terimahkasih","['assalamualaikum', 'aplikasinya', 'bagus', ',', 'kurangnya', 'fitur', 'mengubah', 'qory', 'aplikasinya', 'ribet', ',', 'mengganti', 'pengaturan', 'ribet', 'bolak', 'balik', ',', 'tambahkan', 'fitur', 'opsi', 'menngganti', 'qory', 'nya', 'membaca', 'alquraan', 'qory', 'internasional', ',', 'terimahkasih']","['assalamualaikum', 'aplikasinya', 'bagus', ',', 'kurangnya', 'fitur', 'mengubah', 'qory', 'aplikasinya', 'ribet', ',', 'mengganti', 'pengaturan', 'ribet', 'bolak', 'balik', ',', 'tambahkan', 'fitur', 'opsi', 'menngganti', 'qory', 'nya', 'membaca', 'alquraan', 'qory', 'internasional', ',', 'terimahkasih']","['assalamualaikum', 'aplikasinya', 'bagus', ',', 'kurangnya', 'fitur', 'mengubah', 'qory', 'aplikasinya', 'ribet', ',', 'mengganti', 'pengaturan', 'ribet', 'bolak', 'balik', ',', 'tambahkan', 'fitur', 'opsi', 'menngganti', 'qory', 'nya', 'membaca', 'alquraan', 'qory', 'internasional', ',', 'terimahkasih']"
"tidak banyak kata. Terimakasih buat yang membuat aplikasi nya, sangat membantu ketika sedang bepergian atau tidak membawa Al-Qur'an 👍✨.",5,1,"tidak banyak kata. terimakasih buat yang membuat aplikasi nya, sangat membantu ketika sedang bepergian atau tidak membawa al-qur'an 👍✨.","kata. terimakasih aplikasi nya, membantu bepergian membawa al-qur'an 👍✨.","kata. terimakasih aplikasi nya, membantu bepergian membawa al-qur'an ✨.","['kata', '.', 'terimakasih', 'aplikasi', 'nya', ',', 'membantu', 'bepergian', 'membawa', ""al-qur'an"", '✨', '.']","['kata', '.', ' terima kasih', 'aplikasi', 'nya', ',', 'membantu', 'bepergian', 'membawa', ""al-qur'an"", '✨', '.']","['kata', '.', ' terima kasih', 'aplikasi', 'nya', ',', 'membantu', 'bepergian', 'membawa', ""al-qur'an"", '✨', '.']"
Assalamualaikum wr Wb Kenapa kok yang bisa ditandai terakhir baca cuma surat alfatihah saja yang lain tidak bisa mohon petunjuk atau mungkin aplikasi di perbaiki 🙏,5,1,assalamualaikum wr wb kenapa kok yang bisa ditandai terakhir baca cuma surat alfatihah saja yang lain tidak bisa mohon petunjuk atau mungkin aplikasi di perbaiki 🙏,assalamualaikum wr wb ditandai baca surat alfatihah mohon petunjuk aplikasi perbaiki 🙏,assalamualaikum wr wb ditandai baca surat alfatihah mohon petunjuk aplikasi perbaiki ,"['assalamualaikum', 'wr', 'wb', 'ditandai', 'baca', 'surat', 'alfatihah', 'mohon', 'petunjuk', 'aplikasi', 'perbaiki']","['assalamualaikum', 'wr', 'wb', 'ditandai', 'baca', 'surat', 'alfatihah', 'mohon', 'petunjuk', 'aplikasi', 'perbaiki']","['assalamualaikum', 'wr', 'wb', 'ditandai', 'baca', 'surat', 'alfatihah', 'mohon', 'petunjuk', 'aplikasi', 'perbaiki']"
