content,score,Label,textCaseFolding,textStopWord,textClean,textTokens,teksNormalized,textSteam,appsTokensFdist,topTokens
"Alhamdulillah sangat bagus tulisan dan tajwid, terjemahan sangat jelas",5,1,"alhamdulillah sangat bagus tulisan dan tajwid, terjemahan sangat jelas","alhamdulillah bagus tulisan tajwid, terjemahan","alhamdulillah bagus tulisan tajwid, terjemahan","['alhamdulillah', 'bagus', 'tulisan', 'tajwid', ',', 'terjemahan']","['alhamdulillah', 'bagus', 'tulisan', 'tajwid', ',', 'terjemahan']","['alhamdulillah', 'bagus', 'tulis', 'tajwid', 'terjemah']",<FreqDist with 5 samples and 5 outcomes>,"[('alhamdulillah', 1), ('bagus', 1), ('tulis', 1), ('tajwid', 1), ('terjemah', 1)]"
dengan adanya app ini membuat saya dgn mudah membaca di mana saja kapan saja....pokok nya memberi manfaat dan semoga menjadi jariah buat pencipta aplikasi ini🙏,5,1,dengan adanya app ini membuat saya dgn mudah membaca di mana saja kapan saja....pokok nya memberi manfaat dan semoga menjadi jariah buat pencipta aplikasi ini🙏,app dgn mudah membaca saja....pokok nya manfaat semoga jariah pencipta aplikasi ini🙏,app dgn mudah membaca saja....pokok nya manfaat semoga jariah pencipta aplikasi ini,"['app', 'dgn', 'mudah', 'membaca', 'saja', '....', 'pokok', 'nya', 'manfaat', 'semoga', 'jariah', 'pencipta', 'aplikasi', 'ini']","['aplikasi', ' dengan', 'mudah', 'membaca', 'saja', '....', 'pokok', 'nya', 'manfaat', 'semoga', 'jariah', 'pencipta', 'aplikasi', 'ini']","['aplikasi', 'dengan', 'baca', 'saja pokok', 'manfaat', 'moga', 'jariah', 'cipta']",<FreqDist with 8 samples and 8 outcomes>,"[('aplikasi', 1), ('dengan', 1), ('baca', 1), ('saja pokok', 1), ('manfaat', 1)]"
"Dengan adanya aplikasi Al Qur'an Indonesia, aku sungguh sangat terbantu, untuk membaca ayat ayat suci Al-Quran.",5,1,"dengan adanya aplikasi al qur'an indonesia, aku sungguh sangat terbantu, untuk membaca ayat ayat suci al-quran.","aplikasi al qur'an indonesia, sungguh terbantu, membaca ayat ayat suci al-quran.","aplikasi al qur'an indonesia, sungguh terbantu, membaca ayat ayat suci al-quran.","['aplikasi', 'al', ""qur'an"", 'indonesia', ',', 'sungguh', 'terbantu', ',', 'membaca', 'ayat', 'ayat', 'suci', 'al-quran', '.']","['aplikasi', 'al', ""qur'an"", 'indonesia', ',', 'sungguh', 'terbantu', ',', 'membaca', 'ayat', 'ayat', 'suci', 'al-quran', '.']","['al', 'qur an', 'indonesia', 'sungguh', 'bantu', 'baca', 'ayat', 'ayat', 'suci', 'al-quran']",<FreqDist with 9 samples and 10 outcomes>,"[('ayat', 2), ('al', 1), ('qur an', 1), ('indonesia', 1), ('sungguh', 1)]"
"sangat mudah digunakan dan membantu belajar tajwid, untuk hafalan, melihat waktu shalat yang akurat",5,1,"sangat mudah digunakan dan membantu belajar tajwid, untuk hafalan, melihat waktu shalat yang akurat","mudah membantu belajar tajwid, hafalan, shalat akurat","mudah membantu belajar tajwid, hafalan, shalat akurat","['mudah', 'membantu', 'belajar', 'tajwid', ',', 'hafalan', ',', 'shalat', 'akurat']","['mudah', 'membantu', 'belajar', 'tajwid', ',', 'hafalan', ',', 'shalat', 'akurat']","['bantu', 'ajar', 'tajwid', 'hafal', 'shalat', 'akurat']",<FreqDist with 6 samples and 6 outcomes>,"[('bantu', 1), ('ajar', 1), ('tajwid', 1), ('hafal', 1), ('shalat', 1)]"
dgn apk ini saya bisa lebih enak untuk baca al Qur'an dan bisa saya baca kapan saya mau dan lebih baik di tambah penjelasan tajwid nya,5,1,dgn apk ini saya bisa lebih enak untuk baca al qur'an dan bisa saya baca kapan saya mau dan lebih baik di tambah penjelasan tajwid nya,dgn apk enak baca al qur'an baca penjelasan tajwid nya,dgn apk enak baca al qur'an baca penjelasan tajwid nya,"['dgn', 'apk', 'enak', 'baca', 'al', ""qur'an"", 'baca', 'penjelasan', 'tajwid', 'nya']","[' dengan', ' aplikasi', 'enak', 'baca', 'al', ""qur'an"", 'baca', 'penjelasan', 'tajwid', 'nya']","['dengan', 'aplikasi', 'enak', 'baca', 'al', 'qur an', 'baca', 'jelas', 'tajwid']",<FreqDist with 8 samples and 9 outcomes>,"[('baca', 2), ('dengan', 1), ('aplikasi', 1), ('enak', 1), ('al', 1)]"
"alhamdulillah, membuat baca Al Qur'an bisa kapan saja. Lebih fleksibel dan memudahkan beribadah",5,1,"alhamdulillah, membuat baca al qur'an bisa kapan saja. lebih fleksibel dan memudahkan beribadah","alhamdulillah, baca al qur'an saja. fleksibel memudahkan beribadah","alhamdulillah, baca al qur'an saja. fleksibel memudahkan beribadah","['alhamdulillah', ',', 'baca', 'al', ""qur'an"", 'saja', '.', 'fleksibel', 'memudahkan', 'beribadah']","['alhamdulillah', ',', 'baca', 'al', ""qur'an"", 'saja', '.', 'fleksibel', 'memudahkan', 'beribadah']","['alhamdulillah', 'baca', 'al', 'qur an', 'saja', 'fleksibel', 'mudah', 'ibadah']",<FreqDist with 8 samples and 8 outcomes>,"[('alhamdulillah', 1), ('baca', 1), ('al', 1), ('qur an', 1), ('saja', 1)]"
utamakan perbaikan dalam sistem kadang2 bunyi kadang tdk tuk Alquran is the best 👍,3,0,utamakan perbaikan dalam sistem kadang2 bunyi kadang tdk tuk alquran is the best 👍,utamakan perbaikan sistem kadang2 bunyi kadang tdk tuk alquran is the best 👍,utamakan perbaikan sistem kadang2 bunyi kadang tdk tuk alquran is the best ,"['utamakan', 'perbaikan', 'sistem', 'kadang2', 'bunyi', 'kadang', 'tdk', 'tuk', 'alquran', 'is', 'the', 'best']","['utamakan', 'perbaikan', 'sistem', 'kadang2', 'bunyi', 'kadang', ' tidak', 'tuk', 'alquran', 'is', 'the', ' terbaik']","['utama', 'baik', 'kadang2', 'bunyi', 'tidak', 'tuk', 'alquran', 'is', 'the', 'baik']",<FreqDist with 9 samples and 10 outcomes>,"[('baik', 2), ('utama', 1), ('kadang2', 1), ('bunyi', 1), ('tidak', 1)]"
"apk ini sngat membantu, sehingga dimnapun kta brada bisa membaca ataupun mendengar kan audio Al Qur'an..",5,1,"apk ini sngat membantu, sehingga dimnapun kta brada bisa membaca ataupun mendengar kan audio al qur'an..","apk sngat membantu, dimnapun kta brada membaca mendengar audio al qur'an..","apk sngat membantu, dimnapun kta brada membaca mendengar audio al qur'an..","['apk', 'sngat', 'membantu', ',', 'dimnapun', 'kta', 'brada', 'membaca', 'mendengar', 'audio', 'al', ""qur'an"", '..']","[' aplikasi', 'sngat', 'membantu', ',', 'dimnapun', 'kta', 'brada', 'membaca', 'mendengar', 'audio', 'al', ""qur'an"", '..']","['aplikasi', 'sngat', 'bantu', 'dimnapun', 'kta', 'brada', 'baca', 'dengar', 'audio', 'al', 'qur an']",<FreqDist with 11 samples and 11 outcomes>,"[('aplikasi', 1), ('sngat', 1), ('bantu', 1), ('dimnapun', 1), ('kta', 1)]"
oke .. sesuai.. cocok tingkatkan lagi pelayananan dan informasi lainnya,5,1,oke .. sesuai.. cocok tingkatkan lagi pelayananan dan informasi lainnya,oke .. sesuai.. cocok tingkatkan pelayananan informasi,oke .. sesuai.. cocok tingkatkan pelayananan informasi,"['oke', '..', 'sesuai', '..', 'cocok', 'tingkatkan', 'pelayananan', 'informasi']","['oke', '..', 'sesuai', '..', 'cocok', 'tingkatkan', 'pelayananan', 'informasi']","['oke', '', 'sesuai', 'cocok', 'tingkat', 'pelayananan', 'informasi']",<FreqDist with 7 samples and 7 outcomes>,"[('oke', 1), ('', 1), ('sesuai', 1), ('cocok', 1), ('tingkat', 1)]"
alhamdulillah dengan aplikasi ini jadi bisa membaca alquran di manapun berada... dan aplikasi sangat mudah dipahami... barakallah u fiik,5,1,alhamdulillah dengan aplikasi ini jadi bisa membaca alquran di manapun berada... dan aplikasi sangat mudah dipahami... barakallah u fiik,alhamdulillah aplikasi membaca alquran manapun berada... aplikasi mudah dipahami... barakallah u fiik,alhamdulillah aplikasi membaca alquran manapun berada... aplikasi mudah dipahami... barakallah u fiik,"['alhamdulillah', 'aplikasi', 'membaca', 'alquran', 'manapun', 'berada', '...', 'aplikasi', 'mudah', 'dipahami', '...', 'barakallah', 'u', 'fiik']","['alhamdulillah', 'aplikasi', 'membaca', 'alquran', 'manapun', 'berada', '...', 'aplikasi', 'mudah', 'dipahami', '...', 'barakallah', ' kamu', 'fiik']","['alhamdulillah', 'baca', 'alquran', 'mana', 'ada', 'paham', 'barakallah', 'kamu', 'fiik']",<FreqDist with 9 samples and 9 outcomes>,"[('alhamdulillah', 1), ('baca', 1), ('alquran', 1), ('mana', 1), ('ada', 1)]"
