content,score
"Alhamdulillah sangat bagus tulisan dan tajwid, terjemahan sangat jelas",5
dengan adanya app ini membuat saya dgn mudah membaca di mana saja kapan saja....pokok nya memberi manfaat dan semoga menjadi jariah buat pencipta aplikasi ini🙏,5
"Dengan adanya aplikasi Al Qur'an Indonesia, aku sungguh sangat terbantu, untuk membaca ayat ayat suci Al-Quran.",5
"sangat mudah digunakan dan membantu belajar tajwid, untuk hafalan, melihat waktu shalat yang akurat",5
dgn apk ini saya bisa lebih enak untuk baca al Qur'an dan bisa saya baca kapan saya mau dan lebih baik di tambah penjelasan tajwid nya,5
"alhamdulillah, membuat baca Al Qur'an bisa kapan saja. Lebih fleksibel dan memudahkan beribadah",5
utamakan perbaikan dalam sistem kadang2 bunyi kadang tdk tuk Alquran is the best 👍,3
"apk ini sngat membantu, sehingga dimnapun kta brada bisa membaca ataupun mendengar kan audio Al Qur'an..",5
oke .. sesuai.. cocok tingkatkan lagi pelayananan dan informasi lainnya,5
alhamdulillah dengan aplikasi ini jadi bisa membaca alquran di manapun berada... dan aplikasi sangat mudah dipahami... barakallah u fiik,5
"assalamualaikum aplikasinya bagus, cuma kurangnya adalah fitur untuk mengubah qory di aplikasinya menurut saya agak ribet, jika mau mengganti harus kembali lagi ke pengaturan menurut saya agak ribet karena harus bolak balik, kalau bisa di tambahkan fitur untuk opsi menngganti qory nya di saat membaca alquraan dan juga menambahkan qory internasional , terimahkasih",5
"tidak banyak kata. Terimakasih buat yang membuat aplikasi nya, sangat membantu ketika sedang bepergian atau tidak membawa Al-Qur'an 👍✨.",5
Assalamualaikum wr Wb Kenapa kok yang bisa ditandai terakhir baca cuma surat alfatihah saja yang lain tidak bisa mohon petunjuk atau mungkin aplikasi di perbaiki 🙏,5
Alkhamdulillah dgn adanya aplikasi ini jadi memudahkan kita untuk membaca Al_Quran kapanpun dan dmn pun tanpa ribet...lengkap dgn alarm adzan sholat 5 wkt ...👍🤩,5
"Wah, kok setelah di update, widget waktu sholat cuman buat yang premium? 😁 Yasudah lah, cari aplikasi lain saja",3
sangat bermanfaat. alunan murottalnya indah dan mudah diikuti. sehingga membaca alquran menjadi kegiatan yg menyenangkan.,5
"Aplikasinya jelek juga ternyata, diperbarui versinya malah nggak ada jadwal sholat, katanya harus ke versi premium.... ""Widget jadwal sholat hanya untuk versi premium"". Jadi nyesel perbarui aplikasi Al Qur'an. Tau gitu mah mending nggak punya aplikasi Al Qur'an aja sekalian jadinya nggak ada kata nyesel",1
interface aplikasinya paling nyaman di antara aplikasi Al-Qur'an lainnya menurut saya.,5
"cocok untuk yang mau murajaah,atau pun ingin membaca Qur'an,dan aplikasi ini mempunyai banyak ke gunaan, pokoknya aplikasi ini bagus",5
"sangat membantu untuk mengingatkan waktu sholat , aplikasi ini sangat berguna banget",5
dengan adanya bacaan Alquran di aplikasi hp sangat memudahkan saya untuk baca Alquran dimanapun saya berada.,5
"Aplikasinya sangat bagus,berfungsi dengan baik,🙏🙏🙏terimakasih.",5
"app nya lengkap banget, jangan kebanyakan iklan kalo bisa pada saat di buka menunya.",5
"Aplikasi ini sangat membantu saya dalam belajar Al Qur'an dengan terjemahannya, membantu dalam mencari terjemahan ayat Al Qur'an dengan cepat tanpa harus membolak-balik halaman Al Qur'an. Saran saya untuk tafsir Al Qur'annya mungkin bisa ditambahkan lagi tafsir Ibnu Katsir 🙏. Barakallah..",5
Aplikasi yang sangat bermanfaat bagi hidup saya sebagai umat muslim. Semoga pahala mengalir untuk semua yang berkaitan dengan oembuatan aplikasi ini. Terima kasih telah menciptakan aplikasi yang memiliki manfaat besar dalam perjalanan hidup ini.,5
bagus bgt... dengan ada nya aplikasi ini mempermudah kita untuk mendengar kan ayat2 al-quran secara online....,4
Semoga apk Al Qur'an Indonesia makin bagus dan makin diminati oleh pembaca Al Qur'an di Indonesia.,5
Aplikasi yang sangat membantu bisa di gunakan di mana pun dan bisa untuk mengingat kan kita sholat saya sangat tertarik dengan aplikasi ini aplikasi Al-Qur'an yang bagus sekali,5
"Untuk update ke depan, tambahkan tanda ibtida'nya Tanda berhenti dan mulai jika ayatnya panjang, itu sangat mempermudah.",5
"Alhamdulillah aplikasi Alquran ini sangat bermanfaat, kita bisa belajar banyak dari aplikasi Alquran ini, terima kasih untuk semua yg berhubungan dengan aplikasi ini",5
Sangat membantu. Termasuk jam waktu sholat nya. Semoga menjadi amal yg baik bagi pembuat aplkasi ini. Amin,5
emng apk ini ga berguna di play store tapi kita harus ttp install nya kalo mau ngaji gk ada quran bisa pke ini,5
saya sangat senang memiliki aplikasi ini karena kalau lagi pergi pergi jadi bisa menghafal dari sini sekian terima kasih untuk aplikasi nya,5
"Aplikasi nya bagus, tapi agak kaget liat iklan siang ini, aplikasi alquran tapi iklannya riba dan bunga bank😔",3
Ya ALLAH lancarkan dan mudahkan kami sekeluarga dalam membaca dan memahami serta mengamalkan alquran.,5
Di update malah semakin banyak FITUR yang GAK BISA digunakan,2
apknya bagus warnanya saya sukaaaa sekali cocok bagi yang sedang bepergian namun belum cocok untuk Qur'an tikrar,5
sangat bermanfaat bgi kita semua semoga lancar trus alquran Indonesia semoga di tambahkan surah²nya dan makin baguss lagi saya kasih bintang 5 yaaa🤩👍,5
"sangat membantu saya saat diperjalanan, tp iklannya muncul terus",5
"Saya sangat suka dengan aplikasi yg satu ini,berguna banget buat yg lupa bawa al quran tapi bawa hp.jadi bisa membaca al quran di hp ini👍",5
sangat bagus untuk kita menghafal dan membaca al qur'an,5
